year,intent,police,sex,age,race
2014,Suicide,0,Male,29,Asian/Pacific Islander
2014,Suicide,0,Male,47,Asian/Pacific Islander
2014,Suicide,0,Male,65,Asian/Pacific Islander
2014,Suicide,0,Female,63,Asian/Pacific Islander
2014,Suicide,0,Male,45,Asian/Pacific Islander
2014,Suicide,0,Male,23,Asian/Pacific Islander
2014,Suicide,0,Male,26,Asian/Pacific Islander
2014,Suicide,0,Male,56,Asian/Pacific Islander
2014,Suicide,0,Male,24,Asian/Pacific Islander
2014,Suicide,0,Male,23,Asian/Pacific Islander
2014,Suicide,0,Male,43,Asian/Pacific Islander
2014,Suicide,0,Male,43,Asian/Pacific Islander
2014,Suicide,0,Male,20,Asian/Pacific Islander
2014,Suicide,0,Male,45,Asian/Pacific Islander
2014,Suicide,0,Male,34,Asian/Pacific Islander
2014,Suicide,0,Male,23,Asian/Pacific Islander
2014,Suicide,0,Male,39,Asian/Pacific Islander
2014,Suicide,0,Female,13,Asian/Pacific Islander
2014,Suicide,0,Female,13,Asian/Pacific Islander
2014,Suicide,0,Male,29,Asian/Pacific Islander
2014,Suicide,0,Female,31,Asian/Pacific Islander
2014,Suicide,0,Female,23,Asian/Pacific Islander
2014,Suicide,0,Male,31,Asian/Pacific Islander
2014,Suicide,0,Male,19,Asian/Pacific Islander
2014,Suicide,0,Male,60,Asian/Pacific Islander
2014,Suicide,0,Male,24,Asian/Pacific Islander
2014,Suicide,0,Male,35,Asian/Pacific Islander
2014,Suicide,0,Male,67,Asian/Pacific Islander
2014,Suicide,0,Male,22,Asian/Pacific Islander
2014,Suicide,0,Male,28,Asian/Pacific Islander
2014,Suicide,0,Male,23,Asian/Pacific Islander
2014,Suicide,0,Male,33,Asian/Pacific Islander
2014,Suicide,0,Male,55,Asian/Pacific Islander
2014,Suicide,0,Male,30,Asian/Pacific Islander
2014,Suicide,0,Male,68,Asian/Pacific Islander
2014,Suicide,0,Male,24,Asian/Pacific Islander
2014,Suicide,0,Male,28,Asian/Pacific Islander
2014,Suicide,0,Female,30,Asian/Pacific Islander
2014,Suicide,0,Male,62,Asian/Pacific Islander
2014,Suicide,0,Male,30,Asian/Pacific Islander
2014,Suicide,0,Male,31,Asian/Pacific Islander
2014,Suicide,0,Male,20,Asian/Pacific Islander
2014,Suicide,0,Female,55,Asian/Pacific Islander
2014,Suicide,0,Female,21,Asian/Pacific Islander
2014,Suicide,0,Male,46,Asian/Pacific Islander
2014,Suicide,0,Male,71,Asian/Pacific Islander
2014,Suicide,0,Male,51,Asian/Pacific Islander
2014,Suicide,0,Male,18,Asian/Pacific Islander
2014,Suicide,0,Male,22,Asian/Pacific Islander
2014,Suicide,0,Male,45,Asian/Pacific Islander
2014,Suicide,0,Male,45,Asian/Pacific Islander
2014,Suicide,0,Male,24,Asian/Pacific Islander
2014,Suicide,0,Male,41,Asian/Pacific Islander
2014,Suicide,0,Female,25,Asian/Pacific Islander
2014,Suicide,0,Male,39,Asian/Pacific Islander
2014,Suicide,0,Male,50,Asian/Pacific Islander
2014,Suicide,0,Male,58,Asian/Pacific Islander
2014,Suicide,0,Female,52,Asian/Pacific Islander
2014,Suicide,0,Male,34,Asian/Pacific Islander
2014,Suicide,0,Male,30,Asian/Pacific Islander
2014,Suicide,0,Male,31,Asian/Pacific Islander
2014,Suicide,0,Male,49,Asian/Pacific Islander
2014,Suicide,0,Male,39,Asian/Pacific Islander
2014,Suicide,0,Male,28,Asian/Pacific Islander
2014,Suicide,0,Male,39,Asian/Pacific Islander
2014,Suicide,0,Male,52,Asian/Pacific Islander
2014,Suicide,0,Male,41,Asian/Pacific Islander
2014,Suicide,0,Male,65,Asian/Pacific Islander
2014,Suicide,0,Male,43,Asian/Pacific Islander
2014,Suicide,0,Male,30,Asian/Pacific Islander
2014,Suicide,0,Male,20,Asian/Pacific Islander
2014,Suicide,0,Male,45,Asian/Pacific Islander
